"","Attendance","Stadium_Capacity","StadiumUtilization","HomeFouls","HomeTackles","HomeInterceptions","HomeYellow","HomeRed","AwayFouls","AwayTackles","AwayInterceptions","AwayYellow","AwayRed","GoalsScored","HomePassAccuracy","HomeShotAccuracy","AwayPassAccuracy","AwayShotAccuracy","HomeResult","dummyBundesliga","dummyEPL","dummyLaLiga","dummyLigue1","dummySerieA"
"309",49079.3157894737,59186,0.829238600166824,11.6842105263158,16.4210526315789,9.26315789473684,0.947368421052632,0.0526315789473684,13,18.6315789473684,11.9473684210526,1.68421052631579,0.157894736842105,3,0.8555631994392,0.408266466513463,0.764081736506125,0.295659981573294,0.631578947368421,0,0,0,1,0
"310",50139.8421052632,67394,0.743980801039605,13.4210526315789,19.9473684210526,7.52631578947368,2.21052631578947,0.263157894736842,14.6842105263158,17.4736842105263,7.31578947368421,1.68421052631579,0.0526315789473684,2.52631578947368,0.821880402497355,0.325635673161585,0.768074148155253,0.261854957907589,0.578947368421053,0,0,0,1,0
"311",46911.0526315789,48583,0.965585752867854,12.4736842105263,18.1578947368421,6.84210526315789,1.47368421052632,0.0526315789473684,11.5263157894737,20.5263157894737,10.8947368421053,1.26315789473684,0.105263157894737,3.84210526315789,0.880635768296225,0.385335918811151,0.775512238106001,0.298356541119699,0.894736842105263,0,0,0,1,0
"312",23675.2105263158,29778,0.795057106800853,12.3684210526316,16.6315789473684,6.47368421052632,1.73684210526316,0.0526315789473684,13.8421052631579,19.0526315789474,8.05263157894737,2.10526315789474,0.263157894736842,2.36842105263158,0.801412063373565,0.350386912858309,0.775202882911945,0.29610376592642,0.421052631578947,0,0,0,1,0
"313",14342,21684,0.661409334071205,14.6315789473684,20.7368421052632,9.47368421052632,1.73684210526316,0,13.4210526315789,16.6842105263158,7.94736842105263,1.68421052631579,0.105263157894737,2.05263157894737,0.753038900723895,0.31628225575594,0.779786659328909,0.301053563241929,0.421052631578947,0,0,0,1,0
"314",13043.7368421053,15995,0.815488392754315,15.4210526315789,18.3684210526316,7,1.68421052631579,0.210526315789474,13,16.5789473684211,5.68421052631579,1.42105263157895,0.210526315789474,2.47368421052632,0.760027438121817,0.333229456331837,0.771820374364728,0.334590529869168,0.315789473684211,0,0,0,1,0
"315",28399.5789473684,41965,0.676744404798485,12.0526315789474,17.4210526315789,9.47368421052632,1.57894736842105,0.105263157894737,15.5263157894737,15.7368421052632,8.10526315789474,2.21052631578947,0.0526315789473684,2.52631578947368,0.777000309445528,0.35626789841992,0.748844023401527,0.306278954963165,0.684210526315789,0,0,0,1,0
"316",8446.94736842105,18523,0.456024799893163,14.5263157894737,18.0526315789474,7.94736842105263,2.21052631578947,0.105263157894737,15.2105263157895,14.8947368421053,9.05263157894737,1.94736842105263,0.105263157894737,2.52631578947368,0.775378098510472,0.298097151386625,0.775642844196368,0.339142801642802,0.210526315789474,0,0,0,1,0
"317",20838.4210526316,42115,0.494798077944475,13.6315789473684,19.0526315789474,7.47368421052632,1.52631578947368,0.157894736842105,14.2631578947368,19.2631578947368,9.52631578947368,1.89473684210526,0.105263157894737,2.36842105263158,0.779718313173832,0.361521305817772,0.767897001977497,0.273786824133084,0.368421052631579,0,0,0,1,0
"318",16653.7894736842,20453,0.814246784026021,15.6842105263158,17.1578947368421,7.63157894736842,1.84210526315789,0.157894736842105,15.5263157894737,17.8947368421053,8,1.78947368421053,0.210526315789474,2.26315789473684,0.744073816507691,0.285573774350864,0.773184431190944,0.307915459153849,0.210526315789474,0,0,0,1,0
"319",34079.3684210526,50186,0.679061260531874,12.0526315789474,15.8947368421053,5.78947368421053,1.42105263157895,0,15.4736842105263,19.7894736842105,7.84210526315789,2.26315789473684,0.157894736842105,2.78947368421053,0.801496679082476,0.376824925160838,0.766518684998179,0.301076408971146,0.684210526315789,0,0,0,1,0
"320",11189.0526315789,18752,0.596685827195976,13.4736842105263,16.0526315789474,8.63157894736842,1.21052631578947,0.0526315789473684,13.6842105263158,19.1578947368421,6.57894736842105,2.31578947368421,0.0526315789473684,2.42105263157895,0.772324628601098,0.360614823772719,0.81483908602681,0.379251815436026,0.263157894736842,0,0,0,1,0
"321",19125.8947368421,35624,0.536882291063387,10.6315789473684,17.3684210526316,7.68421052631579,1.78947368421053,0.105263157894737,16.3157894736842,21.1578947368421,8.36842105263158,2,0.105263157894737,1.73684210526316,0.844289796010761,0.274617549408908,0.790894747351527,0.312493500651395,0.526315789473684,0,0,0,1,0
"322",25185.2105263158,35322,0.713017680944335,12.6315789473684,20.2631578947368,8.52631578947368,1.68421052631579,0.0526315789473684,13.3684210526316,15.6315789473684,10.2105263157895,1.89473684210526,0.210526315789474,3.10526315789474,0.769561096944785,0.301617332751437,0.73904032983743,0.317878466562677,0.473684210526316,0,0,0,1,0
"323",11042.6315789474,12097,0.912840504170238,14.4210526315789,17.1052631578947,7.52631578947368,0.947368421052632,0.210526315789474,16.6842105263158,15.3684210526316,6.73684210526316,1.73684210526316,0.105263157894737,2.21052631578947,0.736364568621928,0.285622461473855,0.770581288910338,0.272820654577621,0.368421052631579,0,0,0,1,0
"324",25215.9473684211,29230,0.862673532960009,13.6842105263158,17.2105263157895,8.05263157894737,1.42105263157895,0.105263157894737,13.2105263157895,16.8421052631579,7.63157894736842,1.78947368421053,0.105263157894737,2.94736842105263,0.794087141040898,0.411478054471374,0.788066106177652,0.320233069304277,0.315789473684211,0,0,0,1,0
"325",13828.6842105263,32900,0.420324748040314,14.6842105263158,19.7894736842105,7.94736842105263,1.63157894736842,0,14.8947368421053,17.9473684210526,6.42105263157895,2.05263157894737,0.0526315789473684,2.68421052631579,0.761998585694954,0.309479048643135,0.774752581940569,0.300762176420071,0.421052631578947,0,0,0,1,0
"326",13994.2631578947,18482,0.757183376144072,13.5263157894737,19.6842105263158,6.36842105263158,1.73684210526316,0.157894736842105,14.3684210526316,18.6842105263158,6.63157894736842,2.68421052631579,0.263157894736842,2.63157894736842,0.738240950991214,0.355104552717393,0.743301293266278,0.375519878705474,0.473684210526316,0,0,0,1,0
"327",14730.5263157895,18378,0.799740536453769,13.8421052631579,21.7894736842105,8.1578947368421,1.36842105263158,0.105263157894737,14.3157894736842,20.4736842105263,9.36842105263158,2.31578947368421,0.105263157894737,2.26315789473684,0.725376046756613,0.242698390360929,0.781295820842466,0.315908411967154,0.157894736842105,0,0,0,1,0
