Match_ID,League,Season,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,Venue Key,VAR Key,Stadium_Capacity,VAR,HomeGoal,AwayGoal,HomeResult,StadiumUtilization,UtilizationBuckets,HomePossession,HomePassesCompleted,HomePassesAttempts,HomeShotsonTarget,HomeShots,HomeFouls,HomeTackles,HomeInterceptions,HomeYellow,HomeRed,AwayPossession,AwayPassesCompleted,AwayPassesAttempts,AwayShotsonTarget,AwayShots,AwayFouls,AwayTackles,AwayInterceptions,AwayYellow,AwayRed
1276,Bundesliga,20-21,6,Sun,11/1/2020,15:30 (09:30),Freiburg,2-4,Leverkusen,0.0,Schwarzwald-Stadion,Benjamin Cortus,https://fbref.com/en/matches/6fe64a38/Freiburg-Bayer-Leverkusen-November-1-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Freiburg Schwarzwald-Stadion,Bundesliga 20-21,24000,1,2,4,Loss,0.0,No Fans,40%,310,414,5,8,11,13,6,2,0,60%,522,627,7,18,11,7,2,2,0
1277,Bundesliga,20-21,6,Sun,11/1/2020,18:00 (12:00),Hertha BSC,1-1,Wolfsburg,0.0,Olympiastadion Berlin,Martin Petersen,https://fbref.com/en/matches/94984357/Hertha-BSC-Wolfsburg-November-1-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Hertha BSC Olympiastadion Berlin,Bundesliga 20-21,74649,1,1,1,Tie,0.0,No Fans,53%,363,476,5,20,8,15,5,3,0,47%,302,420,4,11,17,32,8,1,0
1278,Bundesliga,20-21,6,Mon,11/2/2020,20:30 (14:30),Hoffenheim,1-3,Union Berlin,0.0,PreZero Arena,Robert Hartmann,https://fbref.com/en/matches/fb015b0b/Hoffenheim-Union-Berlin-November-2-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Hoffenheim PreZero Arena,Bundesliga 20-21,30150,1,1,3,Loss,0.0,No Fans,60%,495,583,4,10,19,9,4,1,1,40%,299,393,5,8,15,18,6,2,0
1279,Bundesliga,20-21,7,Fri,11/6/2020,20:30 (14:30),Werder Bremen,1-1,Koln,0.0,Weserstadion,Florian Badstubner,https://fbref.com/en/matches/8352703b/Werder-Bremen-Koln-November-6-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Werder Bremen Weserstadion,Bundesliga 20-21,42100,1,1,1,Tie,0.0,No Fans,66%,608,694,3,18,22,10,6,2,0,34%,276,363,1,7,21,13,4,2,0
1280,Bundesliga,20-21,7,Sat,11/7/2020,15:30 (09:30),Union Berlin,5-0,Arminia,0.0,Stadion An der Alten Forsterei,Matthias Jollenbeck,https://fbref.com/en/matches/38dda32f/Union-Berlin-Arminia-November-7-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Union Berlin Stadion An der Alten Forsterei,Bundesliga 20-21,22012,1,5,0,Win,0.0,No Fans,51%,496,575,8,11,19,23,7,0,0,49%,473,555,1,6,10,6,8,1,0
1281,Bundesliga,20-21,7,Sat,11/7/2020,15:30 (09:30),Augsburg,0-3,Hertha BSC,0.0,WWK Arena,Frank Willenborg,https://fbref.com/en/matches/46ddc6a2/Augsburg-Hertha-BSC-November-7-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Augsburg WWK Arena,Bundesliga 20-21,30660,1,0,3,Loss,0.0,No Fans,47%,379,470,1,9,16,14,7,3,0,53%,441,537,5,11,12,9,9,0,0
1282,Bundesliga,20-21,7,Sat,11/7/2020,15:30 (09:30),RB Leipzig,3-0,Freiburg,0.0,Red Bull Arena,Felix Zwayer,https://fbref.com/en/matches/8d222b37/RB-Leipzig-Freiburg-November-7-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,RB Leipzig Red Bull Arena,Bundesliga 20-21,42558,1,3,0,Win,0.0,No Fans,56%,479,570,6,15,16,12,8,2,0,44%,340,455,3,9,16,18,4,3,0
1283,Bundesliga,20-21,7,Sat,11/7/2020,15:30 (09:30),Stuttgart,2-2,Eint Frankfurt,0.0,Mercedes-Benz Arena,Sascha Stegemann,https://fbref.com/en/matches/a25b620f/Stuttgart-Eintracht-Frankfurt-November-7-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Stuttgart Mercedes-Benz Arena,Bundesliga 20-21,60449,1,2,2,Tie,0.0,No Fans,41%,272,371,4,14,14,20,7,2,0,59%,434,542,7,17,18,25,6,4,0
1284,Bundesliga,20-21,7,Sat,11/7/2020,15:30 (09:30),Mainz 05,2-2,Schalke 04,0.0,Opel Arena,Patrick Ittrich,https://fbref.com/en/matches/f12d89c7/Mainz-05-Schalke-04-November-7-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Mainz 05 Opel Arena,Bundesliga 20-21,34000,1,2,2,Tie,0.0,No Fans,33%,205,305,5,11,18,22,6,1,0,67%,507,624,3,21,12,17,3,1,0
1285,Bundesliga,20-21,7,Sat,11/7/2020,18:30 (12:30),Dortmund,2-3,Bayern Munich,0.0,Signal Iduna Park,Manuel Grafe,https://fbref.com/en/matches/ec674186/Der-Klassiker-Dortmund-Bayern-Munich-November-7-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Dortmund Signal Iduna Park,Bundesliga 20-21,81365,1,2,3,Loss,0.0,No Fans,51%,458,577,5,14,16,15,5,2,0,49%,426,548,7,15,10,16,3,2,0
