Match_ID,League,Season,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,Venue Key,VAR Key,Stadium_Capacity,VAR,HomeGoal,AwayGoal,HomeResult,StadiumUtilization,UtilizationBuckets,HomePossession,HomePassesCompleted,HomePassesAttempts,HomeShotsonTarget,HomeShots,HomeFouls,HomeTackles,HomeInterceptions,HomeYellow,HomeRed,AwayPossession,AwayPassesCompleted,AwayPassesAttempts,AwayShotsonTarget,AwayShots,AwayFouls,AwayTackles,AwayInterceptions,AwayYellow,AwayRed
8209,SerieA,18-19,22,Mon,2019-02-04,19:00 (13:00),Frosinone,0-1,Lazio,13221.0,Stadio Benito Stirpe,Michael Fabbri,https://fbref.com/en/matches/3ec40fbc/Frosinone-Lazio-February-4-2019-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Frosinone Stadio Benito Stirpe,SerieA 18-19,16227,1,0,1,Loss,0.8147531891292291,75%-99%,48%,418,540,3,14,12,14,9,1,0,52%,474,593,4,14,16,12,2,5,0
8210,SerieA,18-19,22,Mon,2019-02-04,21:00 (15:00),Cagliari,0-1,Atalanta,14821.0,Sardegna Arena,Paolo Valeri,https://fbref.com/en/matches/51a0460d/Cagliari-Atalanta-February-4-2019-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Cagliari Sardegna Arena,SerieA 18-19,16416,1,0,1,Loss,0.9028386939571148,75%-99%,39%,345,451,2,8,18,20,7,0,0,61%,595,695,6,9,11,19,8,2,0
8211,SerieA,18-19,23,Thu,2019-02-07,20:30 (14:30),Lazio,1-0,Empoli,28121.0,Stadio Olimpico,Daniele Chiffi,https://fbref.com/en/matches/b89261e2/Lazio-Empoli-February-7-2019-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Lazio Stadio Olimpico,SerieA 18-19,70634,1,1,0,Win,0.3981227171050769,25%-49%,49%,431,517,3,9,15,16,9,1,0,51%,426,528,1,7,9,17,14,1,0
8212,SerieA,18-19,23,Fri,2019-02-08,20:30 (14:30),Chievo,0-3,Roma,15000.0,Stadio Marc'Antonio Bentegodi,Rosario Abisso,https://fbref.com/en/matches/e8e87b77/Chievo-Roma-February-8-2019-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Chievo Stadio Marc'Antonio Bentegodi,SerieA 18-19,38402,1,0,3,Loss,0.3906046560074996,25%-49%,49%,400,512,5,16,8,21,13,1,0,51%,422,535,7,15,9,17,9,2,0
8213,SerieA,18-19,23,Sat,2019-02-09,18:00 (12:00),Fiorentina,0-0,Napoli,29377.0,Stadio Artemio Franchi,Giampaolo Calvarese,https://fbref.com/en/matches/1ffe42d4/Fiorentina-Napoli-February-9-2019-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Fiorentina Stadio Artemio Franchi,SerieA 18-19,45000,1,0,0,Tie,0.6528222222222222,50%-74%,41%,275,390,4,17,10,15,10,2,0,59%,450,565,4,13,18,15,6,4,0
8214,SerieA,18-19,23,Sat,2019-02-09,20:30 (14:30),Parma,0-1,Inter,18155.0,Stadio Ennio Tardini,Massimiliano Irrati,https://fbref.com/en/matches/c8be0348/Parma-Internazionale-February-9-2019-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Parma Stadio Ennio Tardini,SerieA 18-19,27906,1,0,1,Loss,0.6505769368594567,50%-74%,36%,248,337,1,9,21,18,13,2,0,64%,502,605,5,19,14,19,7,2,0
8215,SerieA,18-19,23,Sun,2019-02-10,12:30 (06:30),Bologna,1-1,Genoa,17385.0,Stadio Renato Dall'Ara,Gianluca Rocchi,https://fbref.com/en/matches/0c3840ca/Bologna-Genoa-February-10-2019-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Bologna Stadio Renato Dall'Ara,SerieA 18-19,36462,1,1,1,Tie,0.4767977620536449,25%-49%,63%,445,571,3,14,18,17,5,2,0,37%,244,342,5,14,16,26,10,2,0
8216,SerieA,18-19,23,Sun,2019-02-10,15:00 (09:00),Sampdoria,0-1,Frosinone,18937.0,Stadio Comunale Luigi Ferraris,Livio Marinelli,https://fbref.com/en/matches/2b8e3215/Sampdoria-Frosinone-February-10-2019-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Sampdoria Stadio Comunale Luigi Ferraris,SerieA 18-19,36599,1,0,1,Loss,0.5174185087024236,50%-74%,72%,638,763,7,15,9,8,8,3,0,28%,195,299,1,4,24,24,18,3,0
8217,SerieA,18-19,23,Sun,2019-02-10,15:00 (09:00),Atalanta,2-1,SPAL,18342.0,Stadio Atleti Azzurri d'Italia,Davide Massa,https://fbref.com/en/matches/7f78bd98/Atalanta-SPAL-February-10-2019-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Atalanta Stadio Atleti Azzurri d'Italia,SerieA 18-19,25000,1,2,1,Win,0.73368,50%-74%,62%,502,619,4,14,14,15,9,1,0,38%,285,378,2,7,12,23,20,3,0
8218,SerieA,18-19,23,Sun,2019-02-10,15:00 (09:00),Torino,1-0,Udinese,16557.0,Stadio Olimpico di Torino,Marco Guida,https://fbref.com/en/matches/b980c5e4/Torino-Udinese-February-10-2019-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Torino Stadio Olimpico di Torino,SerieA 18-19,27958,1,1,0,Win,0.5922097431862079,50%-74%,59%,399,498,7,18,20,21,5,2,0,41%,247,347,2,13,22,25,5,3,1
8219,SerieA,18-19,23,Sun,2019-02-10,18:00 (12:00),Sassuolo,0-3,Juventus,21584.0,Stadio Citta del Tricolore,Paolo Mazzoleni,https://fbref.com/en/matches/1ab588a5/Sassuolo-Juventus-February-10-2019-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Sassuolo Stadio Citta del Tricolore,SerieA 18-19,23717,1,0,3,Loss,0.9100645106885356,75%-99%,50%,474,561,2,10,19,12,8,3,0,50%,478,569,5,13,11,17,8,2,0
8220,SerieA,18-19,23,Sun,2019-02-10,20:30 (14:30),Milan,3-0,Cagliari,45576.0,Stadio Giuseppe Meazza,Federico La Penna,https://fbref.com/en/matches/4129c411/Milan-Cagliari-February-10-2019-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Milan Stadio Giuseppe Meazza,SerieA 18-19,75923,1,3,0,Win,0.6002924015120583,50%-74%,52%,477,565,10,17,18,23,12,0,0,48%,412,514,2,9,12,12,7,1,0
8221,SerieA,18-19,24,Fri,2019-02-15,20:30 (14:30),Juventus,3-0,Frosinone,10570.0,Allianz Stadium,Antonio Giua,https://fbref.com/en/matches/f1492e17/Juventus-Frosinone-February-15-2019-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Juventus Allianz Stadium,SerieA 18-19,41507,1,3,0,Win,0.25465584118341483,25%-49%,60%,540,620,9,17,15,15,9,2,0,40%,321,420,1,12,20,11,10,3,0
8222,SerieA,18-19,24,Sat,2019-02-16,18:00 (12:00),Cagliari,2-1,Parma,16119.0,Sardegna Arena,Gianluca Manganiello,https://fbref.com/en/matches/a7398b93/Cagliari-Parma-February-16-2019-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Cagliari Sardegna Arena,SerieA 18-19,16416,1,2,1,Win,0.981907894736842,75%-99%,59%,404,544,3,16,22,22,7,4,1,41%,252,371,3,8,15,16,12,1,0
8223,SerieA,18-19,24,Sat,2019-02-16,20:30 (14:30),Atalanta,1-3,Milan,20801.0,Stadio Atleti Azzurri d'Italia,Fabrizio Pasqua,https://fbref.com/en/matches/52571c53/Atalanta-Milan-February-16-2019-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Atalanta Stadio Atleti Azzurri d'Italia,SerieA 18-19,25000,1,1,3,Loss,0.83204,75%-99%,59%,549,645,5,14,13,27,7,1,0,41%,357,450,3,7,11,28,16,2,0
8224,SerieA,18-19,24,Sun,2019-02-17,12:30 (06:30),SPAL,1-4,Fiorentina,37294.0,Stadio Paolo Mazza,Luca Pairetto,https://fbref.com/en/matches/7ec1b561/SPAL-Fiorentina-February-17-2019-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,SPAL Stadio Paolo Mazza,SerieA 18-19,13020,1,1,4,Loss,1.0,Full,52%,324,420,4,9,14,16,9,3,0,48%,301,390,6,22,15,18,8,4,0
