,League,Season,Venue,Attendance,Stadium_Capacity,VAR,HomeGoal,AwayGoal,StadiumUtilization,HomePassesCompleted,HomePassesAttempts,HomeShotsonTarget,HomeShots,HomeFouls,HomeTackles,HomeInterceptions,HomeYellow,HomeRed,AwayPassesCompleted,AwayPassesAttempts,AwayShotsonTarget,AwayShots,AwayFouls,AwayTackles,AwayInterceptions,AwayYellow,AwayRed,GoalsScored,HomePassAccuracy,HomeShotAccuracy,AwayPassAccuracy,AwayShotAccuracy,HomeResult
0,Bundesliga,16-17,Allianz Arena,75000.0,75000.0,0.0,3.235294117647059,0.5294117647058824,1.0,629.6470588235294,715.7058823529412,7.647058823529412,19.647058823529413,9.941176470588236,14.764705882352942,20.058823529411764,0.7647058823529411,0.0,237.47058823529412,321.7647058823529,3.1176470588235294,8.0,10.941176470588236,19.176470588235293,24.823529411764707,1.2352941176470589,0.058823529411764705,3.764705882352941,0.8775081586596625,0.4019921086464759,0.7289569965664823,0.39632369694289193,0.7647058823529411
1,Bundesliga,16-17,BayArena,28427.58823529412,30210.0,0.0,1.588235294117647,1.6470588235294117,0.9409992795529334,386.7647058823529,496.94117647058823,5.235294117647059,12.823529411764707,13.294117647058824,19.11764705882353,20.0,1.2352941176470589,0.17647058823529413,309.29411764705884,417.88235294117646,4.705882352941177,11.117647058823529,13.0,23.058823529411764,25.11764705882353,1.411764705882353,0.0,3.235294117647059,0.7691851300386805,0.4189668222972721,0.7035427017648024,0.4210256295031381,0.29411764705882354
2,Bundesliga,16-17,Commerzbank-Arena,49147.05882352941,51500.0,0.0,1.411764705882353,1.0588235294117647,0.9543118218161051,333.4117647058824,435.3529411764706,4.176470588235294,13.117647058823529,15.941176470588236,16.11764705882353,23.58823529411765,2.764705882352941,0.23529411764705882,313.8235294117647,420.6470588235294,3.4705882352941178,8.470588235294118,13.352941176470589,18.294117647058822,18.941176470588236,2.0588235294117645,0.058823529411764705,2.4705882352941178,0.7478780420371313,0.3096870737874198,0.7274909204783363,0.3603705118411001,0.4117647058823529
3,Bundesliga,16-17,Olympiastadion Berlin,50267.0,74649.0,0.0,1.6470588235294117,1.1176470588235294,0.6733497080060171,355.11764705882354,458.8235294117647,4.294117647058823,11.941176470588236,13.294117647058824,18.058823529411764,18.823529411764707,1.8235294117647058,0.11764705882352941,375.0,470.5882352941176,4.0,12.411764705882353,15.941176470588236,17.58823529411765,20.647058823529413,2.588235294117647,0.17647058823529413,2.764705882352941,0.7677692986503352,0.36714445685033914,0.7821242002324356,0.29592898931134226,0.7058823529411765
4,Bundesliga,16-17,Opel Arena,29095.70588235294,34000.0,0.0,1.7647058823529411,1.5294117647058822,0.8557560553633217,257.3529411764706,365.47058823529414,5.0,13.764705882352942,13.823529411764707,17.647058823529413,23.176470588235293,2.235294117647059,0.11764705882352941,329.8235294117647,440.47058823529414,4.882352941176471,11.705882352941176,15.117647058823529,23.11764705882353,20.41176470588235,2.3529411764705883,0.058823529411764705,3.2941176470588234,0.6937922985414051,0.3694605067123735,0.7331698624366414,0.4370645694175106,0.4117647058823529
5,Bundesliga,16-17,PreZero Arena,28155.29411764706,30150.0,0.0,2.0588235294117645,0.8235294117647058,0.9338406009169837,425.52941176470586,515.2941176470588,5.529411764705882,15.176470588235293,14.058823529411764,16.529411764705884,19.058823529411764,1.6470588235294117,0.0,306.5882352941176,395.2352941176471,4.411764705882353,12.352941176470589,16.705882352941178,21.235294117647058,23.352941176470587,2.235294117647059,0.058823529411764705,2.8823529411764706,0.8175998478814034,0.3625046341599318,0.7604271985322169,0.36107812690293506,0.6470588235294118
6,Bundesliga,16-17,Red Bull Arena,41454.117647058825,42558.0,0.0,2.0588235294117645,0.9411764705882353,0.9740616957342643,382.47058823529414,498.29411764705884,5.705882352941177,14.823529411764707,14.470588235294118,22.529411764705884,23.235294117647058,1.5294117647058822,0.058823529411764705,282.88235294117646,403.29411764705884,2.764705882352941,8.941176470588236,13.882352941176471,20.529411764705884,25.764705882352942,3.0588235294117645,0.23529411764705882,3.0,0.7614665097508514,0.3948802831155773,0.678243278042146,0.2944550547491724,0.7058823529411765
7,Bundesliga,16-17,RheinEnergieSTADION,49570.58823529412,49698.0,0.0,1.7058823529411764,1.0,0.9938617484902932,287.3529411764706,380.05882352941177,4.0,11.764705882352942,13.588235294117647,19.058823529411764,21.58823529411765,1.7647058823529411,0.058823529411764705,410.70588235294116,509.0,4.117647058823529,12.411764705882353,15.0,14.352941176470589,18.529411764705884,2.0,0.058823529411764705,2.7058823529411766,0.7394835929256893,0.3435499957558781,0.7925619318313237,0.31359065770830474,0.5294117647058824
8,Bundesliga,16-17,Schwarzwald-Stadion,23958.823529411766,24000.0,0.0,1.3529411764705883,1.411764705882353,0.9982843137254901,306.1764705882353,419.29411764705884,4.0,11.705882352941176,11.764705882352942,17.0,15.588235294117647,1.6470588235294117,0.058823529411764705,388.3529411764706,492.88235294117646,4.823529411764706,14.294117647058824,13.941176470588236,19.764705882352942,17.941176470588236,1.8823529411764706,0.0,2.764705882352941,0.7174761682303981,0.35632667985609157,0.7689560703000989,0.33154132995978935,0.5882352941176471
9,Bundesliga,16-17,Signal Iduna Park,79653.23529411765,81365.0,0.0,2.411764705882353,0.7058823529411765,0.9789619036946803,491.29411764705884,590.5294117647059,7.0,17.41176470588235,11.176470588235293,16.470588235294116,16.764705882352942,1.588235294117647,0.058823529411764705,252.76470588235293,349.5882352941176,2.823529411764706,9.352941176470589,17.58823529411765,18.705882352941178,23.470588235294116,2.823529411764706,0.058823529411764705,3.1176470588235294,0.8178023770151708,0.3935925255889408,0.7004351187899763,0.3074102368220015,0.7647058823529411
